City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,phatthalung,7.5,100.0833,28.17,74,98,1.65,TH,2023-10-19
79,hermanus,-34.4187,19.2345,16.18,85,37,7.9,ZA,2023-10-19
80,whitehorse,60.7161,-135.0538,8.43,85,75,6.17,CA,2023-10-19
81,port lincoln,-34.7333,135.8667,24.93,34,87,0.8,AU,2023-10-19
82,lichinga,-13.3128,35.2406,20.05,73,0,5.66,MZ,2023-10-19
83,saipan,15.1355,145.701,31.39,70,20,7.2,MP,2023-10-19
84,chimbote,-9.0853,-78.5783,19.41,88,48,3.71,PE,2023-10-19
85,nsanje,-16.92,35.262,22.38,88,51,0.94,MW,2023-10-19
86,kavaratti,10.5669,72.642,28.0,72,100,1.9,IN,2023-10-19
87,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,2023-10-19
88,la passe,45.5549,-0.8967,18.13,72,97,9.66,FR,2023-10-19
89,cole harbour,44.6724,-63.4751,10.71,91,6,3.09,CA,2023-10-19
90,hwange,-18.3693,26.5019,22.29,51,3,3.09,ZW,2023-10-19
91,haiku-pauwela,20.9219,-156.3051,28.01,66,40,9.77,US,2023-10-19
92,saint-pierre,-21.3393,55.4781,24.82,73,100,0.0,RE,2023-10-19
93,artesia,33.8658,-118.0831,28.71,86,0,3.09,US,2023-10-19
94,bethel,41.3712,-73.414,14.2,83,100,2.06,US,2023-10-19
95,al kharijah,25.4514,30.5464,20.75,47,36,3.44,EG,2023-10-19
96,fort mcmurray,56.7268,-111.381,12.77,71,75,3.09,CA,2023-10-19
97,ust-nera,64.5667,143.2,-12.66,77,100,0.45,RU,2023-10-19
98,uniontown,39.9001,-79.7164,8.73,72,12,0.45,US,2023-10-19
99,paita,-5.0892,-81.1144,20.49,83,31,6.87,PE,2023-10-19
100,palikir - national government center,6.9248,158.1611,33.41,62,75,2.57,FM,2023-10-19
101,puerto baquerizo moreno,-0.9,-89.6,23.7,88,100,4.23,EC,2023-10-19
102,beatrice,40.2681,-96.747,14.05,67,100,2.06,US,2023-10-19
103,youghal,51.95,-7.8506,13.56,100,99,3.02,IE,2023-10-19
104,nurabad,34.0734,47.9725,10.31,45,25,1.85,IR,2023-10-19
105,kingston,17.997,-76.7936,29.53,85,20,3.09,JM,2023-10-19
106,auki,-8.7676,160.7034,28.38,77,100,1.16,SB,2023-10-19
107,abong mbang,3.9833,13.1833,19.51,99,100,0.32,CM,2023-10-19
108,khandud,36.9513,72.318,-0.13,76,35,0.63,AF,2023-10-19
109,baruun-urt,46.6806,113.2792,1.68,46,16,7.54,MN,2023-10-19
110,yuzhno-kurilsk,44.0306,145.8556,14.1,58,100,7.13,RU,2023-10-19
111,saudarkrokur,65.7461,-19.6394,3.98,82,46,4.02,IS,2023-10-19
112,usogorsk,63.4106,48.6872,3.15,87,100,4.96,RU,2023-10-19
113,isafjordur,66.0755,-23.124,7.06,77,100,4.17,IS,2023-10-19
114,codrington,-38.2667,141.9667,25.31,30,95,3.83,AU,2023-10-19
115,montmagny,48.9734,2.3469,16.64,88,100,5.66,FR,2023-10-19
116,humboldt,40.6665,-123.9178,9.51,76,7,0.81,US,2023-10-19
